"Voltage, V",uncertainty,"Capacitor calibrated , F",uncertainty
0.003553,0.000001,4.13726E-10,4.37233E-13
0.004175,0.000002,3.96983E-10,4.37233E-13
0.004965,0.000001,3.80577E-10,4.37233E-13
0.005804,0.000002,3.64514E-10,4.37233E-13
0.0066,0.000001,3.488E-10,4.37233E-13
0.00745,0.000002,3.33442E-10,4.37233E-13
0.008262,0.000001,3.18445E-10,4.37233E-13
0.008818,0.000002,3.03817E-10,4.37233E-13
0.00931,0.000003,2.89563E-10,4.37233E-13
0.009533,0.000002,2.7569E-10,4.37233E-13
0.00956,0.000002,2.62204E-10,4.37233E-13
0.00937,0.000001,2.49111E-10,4.37233E-13
0.009051,0.000002,2.36418E-10,4.37233E-13
0.008614,0.000002,2.24131E-10,4.37233E-13
0.007955,0.000002,2.12255E-10,4.37233E-13
0.00715,0.000001,2.00798E-10,4.37233E-13
0.00678,0.000001,1.89766E-10,4.37233E-13
0.00624,0.000002,1.79165E-10,4.37233E-13
0.005693,0.000002,1.69001E-10,4.37233E-13
0.005112,0.000001,1.5928E-10,4.37233E-13
0.004693,0.000001,1.50009E-10,4.37233E-13
0.004246,0.000001,1.41194E-10,4.37233E-13
0.003836,0.000001,1.32842E-10,4.37233E-13
