"Voltage, V",uncertainty,"Capacitor calibrated , F",unceratinty
0.00218,0.000002,3.18445E-10,4.37233E-13
0.00257,0.000001,3.03817E-10,3.03817E-22
0.00298,0.000001,2.89563E-10,2.89563E-22
0.003544,0.000001,2.7569E-10,2.7569E-22
0.003976,0.000001,2.62204E-10,2.62204E-22
0.0045,0.000001,2.49111E-10,2.49111E-22
0.00498,0.000002,2.36418E-10,2.36418E-22
0.005446,0.000001,2.24131E-10,2.24131E-22
0.0058,0.000002,2.12255E-10,2.12255E-22
0.006023,0.000001,2.00798E-10,2.00798E-22
0.006151,0.000002,1.89766E-10,1.89766E-22
0.006141,0.000002,1.79165E-10,1.79165E-22
0.006013,0.000001,1.69001E-10,1.69001E-22
0.00579,0.000001,1.5928E-10,1.5928E-22
0.005513,0.000001,1.50009E-10,1.50009E-22
0.005184,0.000001,1.41194E-10,1.41194E-22
0.004798,0.000001,1.32842E-10,1.32842E-22
0.00446,0.000001,1.24958E-10,1.24958E-22
0.00441,0.000001,1.17549E-10,1.17549E-22
0.00375,0.000001,1.10621E-10,1.10621E-22
0.003454,0.000001,1.0418E-10,1.0418E-22
0.003155,0.000001,9.82333E-11,9.82333E-23
0.002902,0.000001,9.27864E-11,9.27864E-23
0.002683,0.000002,8.78459E-11,8.78459E-23
0.002495,0.000001,8.34178E-11,8.34178E-23
