"Voltage, mV",uncertainty,"Capacitor calibrated, F",uncertainty
0.008269,0.000001,7.01014E-10,4.37233E-13
0.009747,0.000002,6.79972E-10,4.37233E-13
0.011356,0.000002,6.59174E-10,4.37233E-13
0.013313,0.000002,6.38624E-10,4.37233E-13
0.015162,0.000002,6.1833E-10,4.37233E-13
0.016893,0.000002,5.98297E-10,4.37233E-13
0.018476,0.000002,5.78531E-10,4.37233E-13
0.019615,0.000005,5.5904E-10,4.37233E-13
0.02047,0.000005,5.39829E-10,4.37233E-13
0.02081,0.00001,5.20904E-10,4.37233E-13
0.020626,0.000003,5.02272E-10,4.37233E-13
0.020012,0.000003,4.8394E-10,4.37233E-13
0.019035,0.000003,4.65913E-10,4.37233E-13
0.017824,0.000004,4.48197E-10,4.37233E-13
0.01646,0.000002,4.30799E-10,4.37233E-13
0.015029,0.000002,4.13726E-10,4.37233E-13
0.013644,0.000002,3.96983E-10,4.37233E-13
0.012346,0.000002,3.80577E-10,4.37233E-13
0.011111,0.000002,3.64514E-10,4.37233E-13
0.010045,0.000002,3.488E-10,4.37233E-13
0.009086,0.000002,3.33442E-10,4.37233E-13
0.008125,0.000001,3.18445E-10,4.37233E-13
