voltage,uncertainty,capacitance calibrated,uncertainty
0.006497,0.000005,4.13726E-10,4.37233E-13
0.007463,0.000005,3.96983E-10,4.37233E-13
0.008482,0.000005,3.80577E-10,4.37233E-13
0.009607,0.000005,3.64514E-10,4.37233E-13
0.010617,0.000005,3.488E-10,4.37233E-13
0.011587,0.000005,3.33442E-10,4.37233E-13
0.012525,0.000005,3.18445E-10,4.37233E-13
0.013166,0.000005,3.03817E-10,4.37233E-13
0.013687,0.000005,2.89563E-10,4.37233E-13
0.013972,0.000005,2.7569E-10,4.37233E-13
0.014042,0.000005,2.62204E-10,4.37233E-13
0.013905,0.000005,2.49111E-10,4.37233E-13
0.013597,0.000005,2.36418E-10,4.37233E-13
0.01309,0.000005,2.24131E-10,4.37233E-13
0.012515,0.000005,2.12255E-10,4.37233E-13
0.0119,0.000005,2.00798E-10,4.37233E-13
0.01117,0.000005,1.89766E-10,4.37233E-13
0.010481,0.000005,1.79165E-10,4.37233E-13
0.009821,0.000005,1.69001E-10,4.37233E-13
0.009123,0.000005,1.5928E-10,4.37233E-13
0.008505,0.000005,1.50009E-10,4.37233E-13
0.007887,0.000005,1.41194E-10,4.37233E-13
