"voltage, mV",uncertainty,capacitance calibrated,uncertainty
0.01571,0.000005,1.16312E-09,4.37233E-13
0.017487,0.000005,1.13854E-09,4.37233E-13
0.019363,0.000005,1.11408E-09,4.37233E-13
0.02158,0.000005,1.08975E-09,4.37233E-13
0.023628,0.000005,1.06555E-09,4.37233E-13
0.02609,0.000005,1.04148E-09,4.37233E-13
0.028665,0.000005,1.01755E-09,4.37233E-13
0.03106,0.000005,9.9377E-10,4.37233E-13
0.033735,0.000005,9.70146E-10,4.37233E-13
0.035937,0.000005,9.46683E-10,4.37233E-13
0.03812,0.000005,9.23388E-10,4.37233E-13
0.039667,0.000005,9.00266E-10,4.37233E-13
0.0406,0.000005,8.77324E-10,4.37233E-13
0.040805,0.000005,8.54568E-10,4.37233E-13
0.040137,0.000005,8.32004E-10,4.37233E-13
0.039,0.000005,8.09639E-10,4.37233E-13
0.037185,0.000005,7.87479E-10,4.37233E-13
0.035135,0.000005,7.6553E-10,4.37233E-13
0.032887,0.000005,7.43799E-10,4.37233E-13
0.030417,0.000005,7.22291E-10,4.37233E-13
0.028277,0.000005,7.01014E-10,4.37233E-13
0.02599,0.000005,6.79972E-10,4.37233E-13
0.024033,0.000005,6.59174E-10,4.37233E-13
0.02219,0.000005,6.38624E-10,4.37233E-13
0.020335,0.000005,6.1833E-10,4.37233E-13
0.01881,0.000005,5.98297E-10,4.37233E-13
0.017155,0.000005,5.78531E-10,4.37233E-13
