Time,Channel A
(s),(V)

0.00000000,0.01831111
0.00666670,0.01983703
0.01333340,0.02380444
0.02000010,0.01861629
0.02666680,0.02105777
0.03333350,0.02227851
0.04000020,0.01983703
0.04666690,0.02075259
0.05333360,0.02258370
0.06000030,0.01800592
0.06666700,0.02075259
0.07333370,0.02197333
0.08000040,0.01983703
0.08666710,0.02136296
0.09333380,0.02197333
0.10000050,0.01983703
0.10666720,0.02258370
0.11333390,0.02258370
0.12000060,0.02044740
0.12666730,0.02258370
0.13333400,0.02288888
0.14000070,0.01983703
0.14666740,0.02105777
0.15333410,0.02258370
0.16000080,0.01800592
0.16666750,0.02197333
0.17333420,0.02258370
0.18000090,0.02044740
0.18666760,0.02044740
0.19333430,0.02288888
0.20000100,0.02044740
0.20666770,0.02105777
0.21333440,0.02349925
0.22000110,0.01800592
0.22666780,0.02105777
0.23333450,0.02380444
0.24000120,0.01831111
0.24666790,0.01983703
0.25333460,0.02349925
0.26000130,0.01983703
0.26666800,0.02044740
0.27333470,0.02258370
0.28000140,0.01892148
0.28666810,0.02105777
0.29333480,0.02136296
0.30000150,0.02014222
0.30666819,0.02075259
0.31333489,0.02227851
0.32000159,0.02014222
0.32666829,0.02319407
0.33333499,0.02258370
0.34000169,0.01861629
0.34666839,0.02075259
0.35333509,0.02075259
0.36000179,0.01831111
0.36666849,0.02227851
0.37333519,0.02319407
0.38000189,0.01892148
0.38666859,0.02136296
0.39333529,0.02227851
0.40000199,0.01831111
0.40666869,0.02197333
0.41333539,0.02258370
0.42000209,0.02014222
0.42666879,0.02227851
0.43333549,0.02105777
0.44000219,0.02105777
0.44666889,0.02227851
0.45333559,0.02197333
0.46000229,0.01770074
0.46666899,0.02136296
0.47333569,0.02380444
0.48000239,0.01770074
0.48666909,0.02319407
0.49333579,0.02227851
0.50000249,0.01983703
0.50666919,0.02502518
0.51333589,0.02136296
0.52000259,0.02014222
0.52666929,0.02319407
0.53333599,0.02319407
0.54000269,0.01953185
0.54666939,0.02136296
0.55333609,0.02319407
0.56000279,0.02075259
0.56666949,0.02105777
0.57333619,0.02105777
0.58000289,0.01831111
0.58666959,0.02136296
0.59333629,0.02441481
0.60000299,0.01892148
0.60666969,0.02258370
0.61333639,0.02288888
0.62000309,0.02075259
0.62666979,0.02288888
0.63333649,0.02380444
0.64000319,0.01861629
0.64666989,0.02349925
0.65333659,0.02349925
0.66000329,0.02044740
0.66666999,0.02105777
0.67333669,0.02349925
0.68000339,0.02075259
0.68667009,0.01953185
0.69333679,0.02319407
0.70000349,0.02075259
0.70667019,0.02471999
0.71333689,0.02227851
0.72000359,0.02136296
0.72667029,0.02258370
0.73333699,0.02349925
0.74000369,0.01953185
0.74667039,0.02136296
0.75333709,0.02319407
0.76000379,0.02014222
0.76667049,0.02227851
0.77333719,0.02197333
0.78000389,0.02136296
0.78667059,0.02441481
0.79333729,0.02380444
0.80000399,0.02044740
0.80667069,0.02105777
0.81333739,0.02349925
0.82000409,0.02105777
0.82667079,0.02349925
0.83333749,0.02380444
0.84000419,0.02136296
0.84667089,0.02105777
0.85333759,0.02349925
0.86000429,0.02044740
0.86667099,0.02105777
0.87333769,0.02319407
0.88000439,0.02105777
0.88667109,0.02319407
0.89333779,0.02349925
0.90000449,0.02044740
0.90667119,0.02319407
0.91333788,0.02471999
0.92000458,0.02288888
0.92667128,0.02288888
0.93333798,0.02380444
0.94000468,0.02105777
0.94667138,0.02197333
0.95333808,0.02319407
0.96000478,0.02044740
0.96667148,0.02502518
0.97333818,0.02349925
0.98000488,0.02105777
0.98667158,0.02319407
0.99333828,0.02319407
1.00000498,0.01983703
1.00667168,0.02471999
1.01333838,0.02288888
1.02000508,0.02227851
1.02667178,0.02075259
1.03333848,0.02533036
1.04000518,0.02044740
1.04667188,0.02471999
1.05333858,0.02288888
1.06000528,0.02105777
1.06667198,0.02197333
1.07333868,0.02380444
1.08000538,0.02075259
1.08667208,0.02380444
1.09333878,0.02349925
1.10000548,0.02105777
1.10667218,0.02197333
1.11333888,0.02380444
1.12000558,0.02075259
1.12667228,0.02288888
1.13333898,0.02258370
1.14000568,0.02288888
1.14667238,0.02441481
1.15333908,0.02136296
1.16000578,0.02288888
1.16667248,0.02349925
1.17333918,0.02441481
