Time,Channel A
(s),(mV)

0.00000000,-5.99993800
0.00666670,-5.53605700
0.01333340,-3.99182100
0.02000010,-5.62761300
0.02666680,-5.49943500
0.03333350,-3.98571700
0.04000020,-5.77410200
0.04666690,-5.62150900
0.05333360,-4.17493200
0.06000030,-5.79241300
0.06666700,-5.49333200
0.07333370,-4.03454700
0.08000040,-5.81682800
0.08666710,-5.48112400
0.09333380,-4.08948000
0.10000050,-5.73137600
0.10666720,-5.57878400
0.11333390,-3.75988000
0.12000060,-5.70085800
0.12666730,-5.59709500
0.13333400,-4.12610200
0.14000070,-5.77410200
0.14666740,-5.57878400
0.15333410,-3.94299100
0.16000080,-6.06708000
0.16666750,-5.55436900
0.17333420,-4.19934700
0.18000090,-5.68865000
0.18666760,-5.70085800
0.19333430,-3.80260600
0.20000100,-5.86565700
0.20666770,-5.52995400
0.21333440,-4.09558400
0.22000110,-5.57268000
0.22666780,-5.55436900
0.23333450,-3.93688800
0.24000120,-5.90228000
0.24666790,-5.59709500
0.25333460,-4.35804300
0.26000130,-5.78020600
0.26666800,-5.84124300
0.27333470,-4.05896100
0.28000140,-5.89007200
0.28666810,-5.54216100
0.29333480,-3.88195400
0.30000150,-5.49333200
0.30666819,-5.58488800
0.31333489,-4.13831000
0.32000159,-5.64592500
0.32666829,-5.67644300
0.33333499,-3.98571700
0.34000169,-6.03656100
0.34666839,-5.57268000
0.35333509,-4.05896100
0.36000179,-5.53605700
0.36666849,-5.59099100
0.37333519,-3.94299100
0.38000189,-6.04266500
0.38666859,-5.09048700
0.39333529,-4.18714000
0.40000199,-5.34684300
0.40666869,-5.57268000
0.41333539,-4.05896100
0.42000209,-5.60319800
0.42666879,-5.93279800
0.43333549,-3.72936200
0.44000219,-5.93890200
0.44666889,-5.56657600
0.45333559,-4.38856200
0.46000229,-5.09659100
0.46666899,-5.89617600
0.47333569,-3.66832500
0.48000239,-5.83513900
0.48666909,-5.48722800
0.49333579,-4.01013200
0.50000249,-5.66423500
0.50666919,-5.67033900
0.51333589,-3.89416200
0.52000259,-5.84124300
0.52666929,-5.75579100
0.53333599,-3.71105100
0.54000269,-5.91448700
0.54666939,-5.46891700
0.55333609,-3.97961400
0.56000279,-5.90228000
0.56666949,-5.29191000
0.57333619,-4.24207300
0.58000289,-5.48722800
0.58666959,-5.86565700
0.59333629,-3.36924300
0.60000299,-6.07928700
0.60666969,-5.24308000
0.61333639,-4.21155400
0.62000309,-5.10269500
0.62666979,-5.73137600
0.63333649,-3.97961400
0.64000319,-5.73748000
0.64666989,-5.60319800
0.65333659,-3.90026500
0.66000329,-5.52995400
0.66666999,-5.72527200
0.67333669,-3.99792500
0.68000339,-5.02334600
0.68667009,-5.76799800
0.69333679,-3.46690200
0.70000349,-5.79851700
0.70667019,-5.57878400
0.71333689,-4.01623600
0.72000359,-5.54216100
0.72667029,-5.84124300
0.73333699,-3.53404300
0.74000369,-5.75579100
0.74667039,-5.34684300
0.75333709,-4.18103600
0.76000379,-5.42008700
0.76667049,-5.88396800
0.77333719,-3.43638400
0.78000389,-5.53605700
0.78667059,-4.98672400
0.79333729,-3.86974700
0.80000399,-5.39567200
0.80667069,-5.49943500
0.81333739,-3.80260600
0.82000409,-5.16983600
0.82667079,-5.61540600
0.83333749,-3.29599900
0.84000419,-5.68865000
0.84667089,-4.87075400
0.85333759,-3.88195400
0.86000429,-4.92568700
0.86667099,-5.71306500
0.87333769,-3.50352500
0.88000439,-5.56657600
0.88667109,-5.19425000
0.89333779,-3.80260600
0.90000449,-5.37125800
0.90667119,-5.54826500
0.91333788,-3.71715500
0.92000458,-5.18814600
0.92667128,-5.67644300
0.93333798,-3.60728800
0.94000468,-5.48112400
0.94667138,-5.44450200
0.95333808,-3.80260600
0.96000478,-5.00503500
0.96667148,-5.46891700
0.97333818,-3.65001400
0.98000488,-4.92568700
0.98667158,-5.56657600
0.99333828,-3.08847300
1.00000498,-5.62761300
1.00667168,-4.84633900
1.01333838,-3.83922900
1.02000508,-4.95620600
1.02667178,-5.63371700
1.03333848,-3.48521400
1.04000518,-5.43229500
1.04667188,-5.63371700
1.05333858,-3.60118400
1.06000528,-5.57878400
1.06667198,-4.73647300
