Time,Channel A
(s),(mV)

0.00000000,0.16785180
0.00666670,2.63985100
0.01333340,-0.28992580
0.02000010,0.39674060
0.02666680,2.42622100
0.03333350,-0.54933320
0.04000020,0.18311100
0.04666690,2.36518400
0.05333360,-0.25940730
0.06000030,0.41199990
0.06666700,2.70088800
0.07333370,-0.30518510
0.08000040,0.70192570
0.08666710,2.80770300
0.09333380,-0.16785180
0.10000050,0.38148130
0.10666720,2.88399900
0.11333390,-0.06103702
0.12000060,0.97659220
0.12666730,2.79244400
0.13333400,0.00000000
0.14000070,0.42725910
0.14666740,2.91451700
0.15333410,-0.03051851
0.16000080,1.25125900
0.16666750,2.91451700
0.17333420,0.04577776
0.18000090,0.51881460
0.18666760,2.45674000
0.19333430,-0.07629627
0.20000100,0.61037020
0.20666770,3.09762900
0.21333440,-0.03051851
0.22000110,0.50355540
0.22666780,2.79244400
0.23333450,0.13733330
0.24000120,0.32044430
0.24666790,2.76192500
0.25333460,-0.15259250
0.26000130,0.27466660
0.26666800,3.00607300
0.27333470,0.44251840
0.28000140,0.85451820
0.28666810,2.99081400
0.29333480,0.24414810
0.30000150,0.79348120
0.30666819,3.00607300
0.31333489,0.06103702
0.32000159,0.64088860
0.32666829,3.08236900
0.33333499,0.13733330
0.34000169,1.28177700
0.34666839,3.18918400
0.35333509,0.42725910
0.36000179,0.97659220
0.36666849,3.23496200
0.37333519,0.41199990
0.38000189,1.35807400
0.38666859,3.21970200
0.39333529,0.51881460
0.40000199,1.22074000
0.40666869,2.97555400
0.41333539,0.32044430
0.42000209,0.73244420
0.42666879,3.03659200
0.43333549,0.18311100
0.44000219,0.70192570
0.44666889,3.50962800
0.45333559,0.45777760
0.46000229,0.73244420
0.46666899,3.28074000
0.47333569,0.64088860
0.48000239,1.15970300
0.48666909,3.31125800
0.49333579,0.70192570
0.50000249,0.73244420
0.50666919,3.29599900
0.51333589,0.54933320
0.52000259,0.74770340
0.52666929,3.31125800
0.53333599,1.02237000
0.54000269,1.23600000
0.54666939,3.46385000
0.55333609,1.05288900
0.56000279,1.37333300
0.56666949,3.81481300
0.57333619,0.70192570
0.58000289,1.54118500
0.58666959,3.38755400
0.59333629,0.91555520
0.60000299,1.35807400
0.60666969,3.96740600
0.61333639,0.99185150
0.62000309,1.46488800
0.62666979,3.55540600
0.63333649,0.61037020
0.64000319,1.25125900
0.64666989,3.58592500
0.65333659,0.56459240
0.66000329,1.14444400
0.66666999,3.54014700
0.67333669,0.70192570
0.68000339,1.15970300
0.68667009,3.43333200
0.69333679,1.11392600
0.70000349,1.23600000
0.70667019,3.87585000
0.71333689,0.77822200
0.72000359,1.31229600
0.72667029,4.05896100
0.73333699,0.56459240
0.74000369,1.54118500
0.74667039,3.63170200
0.75333709,1.17496300
0.76000379,1.41911100
0.76667049,3.60118400
0.77333719,0.90029600
0.78000389,1.40385100
0.78667059,4.28785000
0.79333729,1.05288900
0.80000399,1.37333300
0.80667069,3.64696200
0.81333739,0.99185150
0.82000409,1.52592500
0.82667079,3.89111000
0.83333749,0.77822200
0.84000419,1.54118500
0.84667089,3.87585000
0.85333759,0.90029600
0.86000429,1.75481400
0.86667099,3.99792500
0.87333769,1.02237000
0.88000439,1.51066600
0.88667109,3.83007300
0.89333779,1.26651800
0.90000449,1.51066600
0.90667119,4.07422100
0.91333788,0.97659220
0.92000458,1.60222200
0.92667128,3.99792500
0.93333798,0.99185150
0.94000468,1.81585100
0.94667138,4.05896100
0.95333808,0.68666640
0.96000478,1.66325900
0.96667148,3.63170200
0.97333818,1.54118500
0.98000488,1.70903600
0.98667158,3.93688800
0.99333828,1.26651800
1.00000498,1.99896200
1.00667168,4.02844300
1.01333838,1.31229600
1.02000508,1.72429600
1.02667178,4.15051700
1.03333848,1.55644400
1.04000518,1.84637000
1.04667188,4.21155400
1.05333858,1.25125900
1.06000528,1.87688800
1.06667198,4.25733200
1.07333868,1.75481400
1.08000538,1.89214700
1.08667208,4.25733200
1.09333878,1.63274000
1.10000548,1.90740700
1.10667218,4.31836900
1.11333888,1.35807400
1.12000558,1.93792500
1.12667228,4.21155400
1.13333898,1.58696200
1.14000568,1.83111000
1.14667238,4.16577600
1.15333908,1.55644400
