Time,Channel A
(s),(V)

0.00000000,-0.02941984
0.00666670,-0.03762932
0.01333340,-0.04025391
0.02000010,-0.02993866
0.02666680,-0.03811762
0.03333350,-0.04080325
0.04000020,-0.02966399
0.04666690,-0.00674459
0.05333360,-0.00708029
0.06000030,-0.00482192
0.06666700,-0.00659200
0.07333370,-0.00711081
0.08000040,-0.00567644
0.08666710,-0.00732444
0.09333380,-0.00793481
0.10000050,-0.00619526
0.10666720,-0.00750755
0.11333390,-0.00808741
0.12000060,-0.00561541
0.12666730,-0.00729392
0.13333400,-0.00775170
0.14000070,-0.00582904
0.14666740,-0.00741600
0.15333410,-0.00781274
0.16000080,-0.00555437
0.16666750,-0.00738548
0.17333420,-0.00695822
0.18000090,-0.00585955
0.18666760,-0.00741600
0.19333430,-0.00802637
0.20000100,-0.00610370
0.20666770,-0.00772118
0.21333440,-0.00753807
0.22000110,-0.00567644
0.22666780,-0.00686667
0.23333450,-0.00753807
0.24000120,-0.00524918
0.24666790,-0.00714133
0.25333460,-0.00738548
0.26000130,-0.00564592
0.26666800,-0.00738548
0.27333470,-0.00741600
0.28000140,-0.00561541
0.28666810,-0.00750755
0.29333480,-0.00793481
0.30000150,-0.00576800
0.30666819,-0.00799585
0.31333489,-0.00793481
0.32000159,-0.00613422
0.32666829,-0.00781274
0.33333499,-0.00790429
0.34000169,-0.00619526
0.34666839,-0.00799585
0.35333509,-0.00796533
0.36000179,-0.00579852
0.36666849,-0.00793481
0.37333519,-0.00778222
0.38000189,-0.00589007
0.38666859,-0.00796533
0.39333529,-0.00762963
0.40000199,-0.00631733
0.40666869,-0.00769066
0.41333539,-0.00753807
0.42000209,-0.00628681
0.42666879,-0.00790429
0.43333549,-0.00790429
0.44000219,-0.00601215
0.44666889,-0.00799585
0.45333559,-0.00750755
0.46000229,-0.00610370
0.46666899,-0.00799585
0.47333569,-0.00766015
0.48000239,-0.00628681
0.48666909,-0.00802637
0.49333579,-0.00793481
0.50000249,-0.00613422
0.50666919,-0.00802637
0.51333589,-0.00793481
0.52000259,-0.00610370
0.52666929,-0.00808741
0.53333599,-0.00778222
0.54000269,-0.00585955
0.54666939,-0.00814844
0.55333609,-0.00796533
0.56000279,-0.00607318
0.56666949,-0.00836207
0.57333619,-0.00787378
0.58000289,-0.00592059
0.58666959,-0.00811792
0.59333629,-0.00814844
0.60000299,-0.00646992
0.60666969,-0.00796533
0.61333639,-0.00793481
0.62000309,-0.00628681
0.62666979,-0.00796533
0.63333649,-0.00781274
0.64000319,-0.00619526
0.64666989,-0.00796533
0.65333659,-0.00747704
0.66000329,-0.00613422
0.66666999,-0.00808741
0.67333669,-0.00769066
0.68000339,-0.00607318
0.68667009,-0.00845363
0.69333679,-0.00741600
0.70000349,-0.00582904
0.70667019,-0.00860622
0.71333689,-0.00781274
0.72000359,-0.00592059
0.72667029,-0.00860622
0.73333699,-0.00793481
0.74000369,-0.00643941
0.74667039,-0.00842311
0.75333709,-0.00781274
0.76000379,-0.00686667
0.76667049,-0.00836207
0.77333719,-0.00793481
0.78000389,-0.00607318
0.78667059,-0.00827052
0.79333729,-0.00769066
0.80000399,-0.00619526
0.80667069,-0.00848415
0.81333739,-0.00732444
0.82000409,-0.00613422
0.82667079,-0.00848415
0.83333749,-0.00775170
0.84000419,-0.00592059
0.84667089,-0.00863674
0.85333759,-0.00787378
0.86000429,-0.00625629
0.86667099,-0.00900296
0.87333769,-0.00729392
0.88000439,-0.00634785
0.88667109,-0.00839259
0.89333779,-0.00750755
0.90000449,-0.00619526
0.90667119,-0.00863674
0.91333788,-0.00744652
0.92000458,-0.00631733
0.92667128,-0.00857570
0.93333798,-0.00762963
0.94000468,-0.00659200
0.94667138,-0.00857570
0.95333808,-0.00756859
0.96000478,-0.00631733
0.96667148,-0.00848415
0.97333818,-0.00778222
0.98000488,-0.00564592
0.98667158,-0.00836207
0.99333828,-0.00756859
1.00000498,-0.00607318
1.00667168,-0.00820948
1.01333838,-0.00738548
1.02000508,-0.00613422
1.02667178,-0.00845363
1.03333848,-0.00766015
1.04000518,-0.00625629
1.04667188,-0.00848415
1.05333858,-0.00750755
1.06000528,-0.00589007
1.06667198,-0.00860622
1.07333868,-0.00729392
1.08000538,-0.00585955
