Time,Channel A
(s),(mV)

0.00000000,0.10376290
0.00666670,0.36622210
0.01333340,0.65919980
0.02000010,0.21362960
0.02666680,-0.14038510
0.03333350,-0.07934812
0.04000020,0.02441481
0.04666690,0.46388130
0.05333360,0.37232580
0.06000030,0.21973330
0.06666700,-0.10986660
0.07333370,-0.27466660
0.08000040,0.29908140
0.08666710,0.31739250
0.09333380,-0.25635550
0.10000050,0.41505170
0.10666720,0.30518510
0.11333390,-0.32959990
0.12000060,0.36011840
0.12666730,0.28077030
0.13333400,-0.15869620
0.14000070,0.39063690
0.14666740,0.28687400
0.15333410,-0.23804440
0.16000080,0.28077030
0.16666750,0.21973330
0.17333420,-0.31739250
0.18000090,0.39063690
0.18666760,0.20752580
0.19333430,-0.14038510
0.20000100,0.38453320
0.20666770,0.17090370
0.21333440,-0.17090370
0.22000110,0.42725910
0.22666780,0.26856290
0.23333450,-0.32349620
0.24000120,0.28687400
0.24666790,0.26245920
0.25333460,-0.18311110
0.26000130,0.28687400
0.26666800,0.18921480
0.27333470,-0.34180730
0.28000140,0.23804440
0.28666810,0.25025180
0.29333480,-0.14038510
0.30000150,0.28687400
0.30666819,0.17700730
0.31333489,-0.12207400
0.32000159,0.23804440
0.32666829,0.26856290
0.33333499,-0.15869620
0.34000169,0.28077030
0.34666839,0.26856290
0.35333509,-0.24414810
0.36000179,0.17090370
0.36666849,0.50660720
0.37333519,-0.24414810
0.38000189,0.41505170
0.38666859,0.06103702
0.39333529,-0.27466660
0.40000199,0.53712580
0.40666869,0.16479990
0.41333539,-0.46388130
0.42000209,0.23194070
0.42666879,0.15259250
0.43333549,-0.17090370
0.44000219,0.02441481
0.44666889,0.23804440
0.45333559,-0.18311110
0.46000229,0.14038510
0.46666899,0.31128880
0.47333569,-0.48829610
0.48000239,0.43946650
0.48666909,0.15259250
0.49333579,-0.26245920
0.50000249,0.23804440
0.50666919,0.12817770
0.51333589,-0.39063690
0.52000259,0.33570360
0.52666929,0.11597030
0.53333599,-0.28687400
0.54000269,0.09155553
0.54666939,0.30518510
0.55333609,-0.47608880
0.56000279,0.26856290
0.56666949,-0.09155553
0.57333619,-0.24414810
0.58000289,0.08545183
0.58666959,0.14038510
0.59333629,-0.30518510
0.60000299,0.16479990
0.60666969,0.11597030
0.61333639,-0.49439980
0.62000309,0.06103702
0.62666979,0.12207400
0.63333649,-0.56764430
0.64000319,0.12207400
0.64666989,0.12207400
0.65333659,-0.57985160
0.66000329,0.10376290
0.66666999,-0.16479990
0.67333669,-0.50660720
0.68000339,0.25025180
0.68667009,-0.09155553
0.69333679,-0.52491830
0.70000349,-0.21973330
0.70667019,-0.06103702
0.71333689,-0.51881460
0.72000359,-0.12817770
0.72667029,-0.06103702
0.73333699,-0.75685910
0.74000369,-0.17700730
0.74667039,-0.02441481
0.75333709,-0.87893310
0.76000379,0.06103702
0.76667049,-0.21973330
0.77333719,-0.78127380
0.78000389,0.07934812
0.78667059,-0.21973330
0.79333729,-0.67751090
0.80000399,-0.25635550
0.80667069,-0.30518510
0.81333739,-0.73244420
0.82000409,-0.31128880
0.82667079,-0.25635550
0.83333749,-0.98879970
0.84000419,-0.26245920
0.84667089,-0.36622210
0.85333759,-0.97659220
0.86000429,-0.22583700
0.86667099,-0.49439980
0.87333769,-0.97048860
0.88000439,-0.38453320
0.88667109,-0.46998500
0.89333779,-0.93997010
0.90000449,-0.35401470
0.90667119,-0.65309610
0.91333788,-0.96438490
0.92000458,-0.68971830
0.92667128,-0.42725910
0.93333798,-0.96438490
0.94000468,-0.84231080
0.94667138,-0.47608880
0.95333808,-1.33060700
0.96000478,-0.47608880
0.96667148,-0.47608880
0.97333818,-1.28788100
0.98000488,-0.43336280
0.98667158,-0.70802940
0.99333828,-1.46488800
1.00000498,-0.42725910
1.00667168,-0.78737750
1.01333838,-1.17801500
1.02000508,-0.67140720
1.02667178,-0.59205910
1.03333848,-1.33671100
1.04000518,-0.56764430
1.04667188,-0.70802940
1.05333858,-1.30619200
1.06000528,-0.78737750
1.06667198,-0.65309610
1.07333868,-1.22074000
1.08000538,-0.70802940
1.08667208,-0.78127380
1.09333878,-1.31840000
1.10000548,-0.75685910
