Time,Channel A
(s),(mV)

0.00000000,-4.87166900
0.00333340,-4.95590100
0.00666680,-4.95742700
0.01000020,-4.87655200
0.01333360,-4.94216700
0.01666700,-5.00106800
0.02000040,-5.01968400
0.02333380,-4.90737600
0.02666720,-4.94674500
0.03000060,-4.90157700
0.03333400,-4.98977600
0.03666740,-4.34217400
0.04000080,-3.69914800
0.04333420,-3.67229200
0.04666760,-4.11236900
0.05000100,-4.88784400
0.05333440,-4.76485400
0.05666780,-4.30860300
0.06000120,-3.65978000
0.06333460,-3.60637200
0.06666800,-4.11816700
0.07000140,-4.82284000
0.07333480,-4.79934100
0.07666820,-4.31470700
0.08000160,-3.61461200
0.08333500,-3.61400200
0.08666840,-4.19995700
0.09000180,-4.84267700
0.09333520,-4.90737600
0.09666860,-4.21582700
0.10000200,-3.55082800
0.10333540,-3.60515100
0.10666880,-4.35895900
0.11000220,-4.94918700
0.11333560,-4.94552400
0.11666900,-4.44898800
0.12000240,-3.66863000
0.12333580,-3.59385900
0.12666920,-4.25763700
0.13000260,-5.05356000
0.13333600,-4.91164900
0.13666940,-4.38734100
0.14000280,-3.48277200
0.14333620,-3.65306500
0.14666960,-4.34766700
0.15000300,-5.05264400
0.15333640,-4.91744700
0.15666980,-4.25885800
0.16000320,-3.62224200
0.16333660,-3.67564900
0.16667000,-4.19354800
0.17000340,-4.87563700
0.17333680,-4.94003100
0.17667020,-4.35316000
0.18000360,-3.83587100
0.18333700,-3.77361400
0.18667040,-4.33393300
0.19000380,-4.80910600
0.19333720,-4.90005200
0.19667060,-4.46211100
0.20000400,-3.61644300
0.20333740,-3.46018800
0.20667080,-4.33027100
0.21000420,-4.99893100
0.21333760,-4.80849600
0.21667100,-4.25977300
0.22000440,-3.65886400
0.22333780,-3.65184500
0.22667120,-4.22498200
0.23000460,-5.01419100
0.23333800,-4.88204600
0.23667140,-4.38489900
0.24000480,-3.63902700
0.24333820,-3.61430700
0.24667160,-4.26557200
0.25000500,-4.94644000
0.25333840,-4.99252200
0.25667180,-4.30921400
0.26000520,-3.71288200
0.26333860,-3.83251400
0.26667200,-4.25580600
0.27000540,-4.80941200
0.27333880,-4.91744700
0.27667220,-4.23291700
0.28000560,-3.67259700
0.28333900,-3.62102100
0.28667240,-4.30707700
0.29000580,-4.98428200
0.29333920,-4.92751800
0.29667260,-4.19751600
0.30000600,-3.75652300
0.30333940,-3.62254700
0.30667280,-4.32508300
0.31000620,-4.98062100
0.31333960,-4.89547400
0.31667300,-4.27686400
0.32000640,-3.76049100
0.32333980,-3.57707400
0.32667320,-4.30311000
0.33000660,-4.96597100
0.33334000,-4.87685700
0.33667340,-4.19812600
0.34000680,-3.70647300
0.34334020,-3.76659400
0.34667360,-4.19080200
0.35000700,-4.92660200
0.35334040,-4.90585000
0.35667380,-4.22498200
0.36000720,-3.67687000
0.36334060,-3.69762200
0.36667400,-4.35316000
0.37000740,-5.08743500
0.37334080,-5.01022400
0.37667420,-4.32721900
0.38000760,-3.60515100
0.38334100,-3.65672800
0.38667440,-4.43586500
0.39000780,-5.10238900
0.39334120,-4.91958400
0.39667460,-4.30433000
0.40000800,-3.62132600
0.40334140,-3.62804000
0.40667480,-4.44990300
0.41000820,-5.06790300
0.41334160,-5.04806700
0.41667500,-4.26709700
0.42000840,-3.68907700
0.42334180,-3.70891400
0.42667520,-4.32935600
0.43000860,-4.98184100
0.43334200,-5.07644800
0.43667540,-4.41206100
0.44000880,-3.72997200
0.44334220,-3.71440800
0.44667560,-4.28968100
0.45000900,-5.04104700
0.45334240,-4.95712100
0.45667580,-4.36994500
0.46000920,-3.56883400
0.46334260,-3.63109200
0.46667600,-4.42121600
0.47000940,-5.11856400
0.47334280,-4.99923700
0.47667620,-4.28846100
0.48000960,-3.64024800
0.48334300,-3.77330800
0.48667640,-4.41419700
0.49000980,-4.96078300
0.49334320,-4.98092600
0.49667660,-4.29639600
0.50001000,-3.72661500
0.50334340,-3.67687000
0.50667680,-4.42396300
0.51001020,-5.19394500
0.51334360,-5.01632700
0.51667700,-4.19660000
0.52001040,-3.68938300
0.52334380,-3.66985100
0.52667720,-4.46485800
0.53001060,-5.08560400
0.53334400,-5.00900300
