Time,Channel A
(s),(V)

0.00000000,0.72374650
0.00666670,0.85238190
0.01333340,0.62654500
0.02000010,0.82537310
0.02666680,0.78737750
0.03333350,0.63478500
0.04000020,0.85360270
0.04666690,0.69841610
0.05333360,0.71489610
0.06000030,0.84261600
0.06666700,0.63600580
0.07333370,0.79653310
0.08000040,0.80156860
0.08666710,0.63676870
0.09333380,0.85757010
0.10000050,0.71703240
0.10666720,0.68468280
0.11333390,0.85680720
0.12000060,0.63310650
0.12666730,0.78966640
0.13333400,0.81026640
0.14000070,0.61449020
0.14666740,0.85314490
0.15333410,0.72847680
0.16000080,0.67644270
0.16666750,0.86931970
0.17333420,0.64775540
0.18000090,0.76006350
0.18666760,0.81011380
0.19333430,0.64210950
0.20000100,0.83025600
0.20666770,0.74205760
0.21333440,0.66606650
0.22000110,0.84368420
0.22666780,0.68422500
0.23333450,0.73915830
0.24000120,0.81392870
0.24666790,0.67552720
0.25333460,0.79409160
0.26000130,0.74251530
0.26666800,0.71031830
0.27333470,0.80385760
0.28000140,0.70360420
0.28666810,0.74343090
0.29333480,0.79409160
0.30000150,0.67690060
0.30666819,0.79103980
0.31333489,0.77120270
0.32000159,0.66545610
0.32666829,0.82918790
0.33333499,0.72161010
0.34000169,0.70116280
0.34666839,0.82415240
0.35333509,0.67720570
0.36000179,0.76693020
0.36666849,0.77364420
0.37333519,0.68041010
0.38000189,0.80996130
0.38666859,0.72847680
0.39333529,0.72069460
0.40000199,0.80370490
0.40666869,0.69231240
0.41333539,0.76219980
0.42000209,0.77654350
0.42666879,0.69063390
0.43333549,0.79607530
0.44000219,0.73519090
0.44666889,0.71733750
0.45333559,0.80370490
0.46000229,0.70665610
0.46666899,0.75762200
0.47333569,0.78585160
0.48000239,0.68712430
0.48666909,0.78661460
0.49333579,0.74770350
0.50000249,0.69368570
0.50666919,0.81392870
0.51333589,0.71123390
0.52000259,0.72496720
0.52666929,0.81514940
0.53333599,0.67567980
0.54000269,0.77410200
0.54666939,0.77181310
0.55333609,0.67842640
0.56000279,0.81713310
0.56666949,0.71321760
0.57333619,0.71840570
0.58000289,0.80828270
0.58666959,0.68330940
0.59333629,0.78157900
0.60000299,0.75685910
0.60666969,0.70039980
0.61333639,0.80904570
0.62000309,0.71306500
0.62666979,0.73686940
0.63333649,0.79485460
0.64000319,0.68681910
0.64666989,0.77639090
0.65333659,0.76082650
0.66000329,0.69566940
0.66666999,0.81118200
0.67333669,0.72008420
0.68000339,0.71947380
0.68667009,0.80782500
0.69333679,0.69490650
0.70000349,0.76738790
0.70667019,0.77379680
0.71333689,0.68376720
0.72000359,0.79943230
0.72667029,0.73442790
0.73333699,0.71626940
0.74000369,0.80675680
0.74667039,0.70284130
0.75333709,0.75594350
0.76000379,0.78432570
0.76667049,0.69154940
0.77333719,0.78844570
0.78000389,0.74465160
0.78667059,0.70818200
0.79333729,0.80401020
0.80000399,0.71306500
0.80667069,0.74465160
0.81333739,0.79012420
0.82000409,0.70039980
0.82667079,0.77684870
0.83333749,0.75746940
0.84000419,0.70619830
0.84667089,0.78981900
0.85333759,0.72740860
0.86000429,0.73458050
0.86667099,0.78600420
0.87333769,0.71230200
0.88000439,0.75884280
0.88667109,0.76738790
0.89333779,0.71062350
0.90000449,0.77990050
0.90667119,0.74449900
0.91333788,0.72359380
0.92000458,0.78310500
0.92667128,0.72084720
0.93333798,0.74694050
0.94000468,0.77410200
0.94667138,0.71260720
0.95333808,0.77059240
0.96000478,0.75334940
0.96667148,0.71733750
0.97333818,0.78203680
0.98000488,0.72466200
0.98667158,0.74083680
0.99333828,0.77898500
1.00000498,0.71062350
1.00667168,0.77303390
1.01333838,0.75441750
1.02000508,0.71428570
1.02667178,0.78661460
1.03333848,0.72161010
1.04000518,0.73946350
1.04667188,0.78279980
1.05333858,0.70741900
1.06000528,0.77089760
1.06667198,0.75777460
1.07333868,0.71047090
1.08000538,0.78829310
1.08667208,0.73091830
1.09333878,0.73198650
1.10000548,0.78646200
1.10667218,0.70848720
1.11333888,0.76342050
1.12000558,0.76723530
1.12667228,0.70528270
1.13333898,0.79103980
1.14000568,0.73076570
1.14667238,0.72618790
1.15333908,0.79363380
1.16000578,0.70604570
1.16667248,0.76387830
1.17333918,0.77150790
