Time,Channel A
(s),(V)

0.00000000,2.50801100
0.00666670,2.52754300
0.01333340,2.50022900
0.02000010,2.49107300
0.02666680,2.48435900
0.03333350,2.51991300
0.04000020,2.46009700
0.04666690,2.48756400
0.05333360,2.47230400
0.06000030,2.52052400
0.06666700,2.52296500
0.07333370,2.47413600
0.08000040,2.52876400
0.08666710,2.51274200
0.09333380,2.49290400
0.10000050,2.51823500
0.10666720,2.54326000
0.11333390,2.47901800
0.12000060,2.51319900
0.12666730,2.50267000
0.13333400,2.53700400
0.14000070,2.53151000
0.14666740,2.52510100
0.15333410,2.50999500
0.16000080,2.54829500
0.16666750,2.54020800
0.17333420,2.53563000
0.18000090,2.54356500
0.18666760,2.53517200
0.19333430,2.54875300
0.20000100,2.54921100
0.20666770,2.55333100
0.21333440,2.54966900
0.22000110,2.54509100
0.22666780,2.51045300
0.23333450,2.53853000
0.24000120,2.53776700
0.24666790,2.54203900
0.25333460,2.53013700
0.26000130,2.51823500
0.26666800,2.53196800
0.27333470,2.55638300
0.28000140,2.52830600
0.28666810,2.52433800
0.29333480,2.52586400
0.30000150,2.54402300
0.30666819,2.51274200
0.31333489,2.48680100
0.32000159,2.53593600
0.32666829,2.54448100
0.33333499,2.49153100
0.34000169,2.51411500
0.34666839,2.54936400
0.35333509,2.55180500
0.36000179,2.52311800
0.36666849,2.54783800
0.37333519,2.53013700
0.38000189,2.54585400
0.38666859,2.54661700
0.39333529,2.51564100
0.40000199,2.53257800
0.40666869,2.52967900
0.41333539,2.50175500
0.42000209,2.50236500
0.42666879,2.51182600
0.43333549,2.53303600
0.44000219,2.53791900
0.44666889,2.54463300
0.45333559,2.51579300
0.46000229,2.54509100
0.46666899,2.51579300
0.47333569,2.52632200
0.48000239,2.43720800
0.48666909,2.52220200
0.49333579,2.52815300
0.50000249,2.43980200
0.50666919,2.49519300
0.51333589,2.54707500
0.52000259,2.51762400
0.52666929,2.49992400
0.53333599,2.52967900
0.54000269,2.53700400
0.54666939,2.52571200
0.55333609,2.44087000
0.56000279,2.51426700
0.56666949,2.52205000
0.57333619,2.54158100
0.58000289,2.52266000
0.58666959,2.54066600
0.59333629,2.51762400
0.60000299,2.54127600
0.60666969,2.54951600
0.61333639,2.54280200
0.62000309,2.54127600
0.62666979,2.53822400
0.63333649,2.52449100
0.64000319,2.53975000
0.64666989,2.54295500
0.65333659,2.50404400
0.66000329,2.49275200
0.66666999,2.48374900
0.67333669,2.47062600
0.68000339,2.45185700
0.68667009,2.50801100
0.69333679,2.48390200
0.70000349,2.46543800
0.70667019,2.48664800
0.71333689,2.49061600
0.72000359,2.50679000
0.72667029,2.51075800
0.73333699,2.52571200
0.74000369,2.51152100
0.74667039,2.48435900
0.75333709,2.50297500
0.76000379,2.49458300
0.76667049,2.47230400
0.77333719,2.48176500
0.78000389,2.44148100
0.78667059,2.49671900
0.79333729,2.53135800
0.80000399,2.51930300
0.80667069,2.49519300
0.81333739,2.42866300
0.82000409,2.48420700
0.82667079,2.51884500
0.83333749,2.43400400
0.84000419,2.48664800
0.84667089,2.53303600
0.85333759,2.51915000
0.86000429,2.53715600
0.86667099,2.52449100
0.87333769,2.50373800
0.88000439,2.55058400
0.88667109,2.53212100
0.89333779,2.56050300
0.90000449,2.51075800
0.90667119,2.50862100
0.91333788,2.54768500
0.92000458,2.52876400
0.92667128,2.55806100
0.93333798,2.51899800
0.94000468,2.52845900
0.94667138,2.50709600
0.95333808,2.52296500
0.96000478,2.55073700
0.96667148,2.54280200
0.97333818,2.52906900
0.98000488,2.48878500
0.98667158,2.52678000
0.99333828,2.53929300
1.00000498,2.53837700
1.00667168,2.51686100
1.01333838,2.48954700
1.02000508,2.46314900
1.02667178,2.52052400
1.03333848,2.51335200
1.04000518,2.50404400
1.04667188,2.49427800
1.05333858,2.52571200
1.06000528,2.51365700
1.06667198,2.52250700
1.07333868,2.46925300
1.08000538,2.52281300
1.08667208,2.51564100
1.09333878,2.49992400
1.10000548,2.48771600
1.10667218,2.49748200
1.11333888,2.49427800
1.12000558,2.50755300
1.12667228,2.47749300
1.13333898,2.45933400
1.14000568,2.48832700
1.14667238,2.49946600
1.15333908,2.48008700
1.16000578,2.46681100
1.16667248,2.54524400
1.17333918,2.51457300
